序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
103,501,鄂武商A,武汉武商集团股份有限公司,武汉市,江汉区,181.22亿,12.41亿,11482,1992-11-20,--,,百货,主营业务:商业零售及批发业务,商业零售及批发业务
104,502,绿景控股,绿景控股股份有限公司,广州市,海珠区,2206.13万,-8477.38万,192,1992-11-23,--,,房地产开发,主营业务:从事房地产开发及物业管理业务,从事房地产开发及物业管理业务
105,503,国新健康,国新健康保障服务集团股份有限公司,海口市,龙华区,1.84亿,-29.97万,1167,1992-11-30,--,,电子商务B2B,主营业务:医药电子商务、医疗福利管理等,医药电子商务、医疗福利管理等
106,504,南华生物,南华生物医药股份有限公司,长沙市,天心区,6739.30万,-3624.92万,143,1992-12-08,--,,节能环保,主营业务:媒体业务；生物资源、干细胞和免疫细胞储存，生命科学技术、组织工程技术及其他生物技术研发业务,媒体业务；生物资源、干细胞和免疫细胞储存，生命科学技术、组织工程技术及其他生物技术研发业务
107,505,京粮控股,海南京粮控股股份有限公司,海口市,龙华区,79.18亿,2.09亿,2968,1992-12-21,--,,房地产开发,主营业务:植物油加工及食品制造。,植物油加工及食品制造。
108,506,中润资源,中润资源投资股份有限公司,济南市,历下区,7.69亿,-4.75亿,1650,1993-03-12,--,,黄金,主营业务:矿业投资与房地产开发,矿业投资与房地产开发
109,507,珠海港,珠海港股份有限公司,珠海市,珠海市,19.60亿,1.66亿,2102,1993-03-26,--,,港口,主营业务:港口及其配套设施的项目投资；电力项目投资；玻璃纤维制品项目投资；饮料项目投资；化工原料及化工产品项目投资。,港口及其配套设施的项目投资；电力项目投资；玻璃纤维制品项目投资；饮料项目投资；化工原料及化工产品项目投资。
110,509,华塑控股,华塑控股股份有限公司,南充市,顺庆区,22.41亿,1237.43万,70,1993-05-07,--,,其他建材,主营业务:园林工程、大宗商品贸易。,园林工程、大宗商品贸易。
111,510,金路集团,四川金路集团股份有限公司,德阳市,旌阳区,17.28亿,4228.80万,2537,1993-05-07,--,,氯碱,主营业务:从事PCV树脂和烧碱的生产与销售,从事PCV树脂和烧碱的生产与销售
112,511,烯碳退,银基烯碳新材料集团股份有限公司,沈阳市,沈河区,--,--,179,1993-05-18,--,,非金属新材料,贸易类、房地产、生产类、技术平台开发类,"石墨类产品、石墨烯及纳米碳、碳素类产品、耐火材料、活性碳类产品、烯碳新材料、稀土碳基复合材料、矿产品、金属和非金属材料销售(不含危险化学品),烯碳新材料技术开发和技术转让,城市基础设施投资等。"
113,513,丽珠集团,丽珠医药集团股份有限公司,珠海市,金湾区,85.31亿,44.88亿,7219,1993-10-28,--,,化学制剂,主营业务:研究、开发、生产和销售医药产品。,研究、开发、生产和销售医药产品。
114,514,渝开发,重庆渝开发股份有限公司,重庆市,渝中区,10.41亿,9849.10万,740,1993-07-12,--,,房地产开发,主营业务:主要从事房地产开发、房屋销售及租赁、物业管理、会展经营、酒店经营管理、市政工程代理。,主要从事房地产开发、房屋销售及租赁、物业管理、会展经营、酒店经营管理、市政工程代理。
115,516,国际医学,西安国际医学投资股份有限公司,西安市,碑林区,40.60亿,1.90亿,3724,1993-08-09,--,,百货,主营业务:大健康医疗服务和现代医学技术转化应用,大健康医疗服务和现代医学技术转化应用
116,517,荣安地产,荣安地产股份有限公司,宁波市,海曙区,42.64亿,5.42亿,1182,1993-08-06,--,,房地产开发,主营业务:从事房地产开发、经营；物业服务；建设工程承包等,从事房地产开发、经营；物业服务；建设工程承包等
117,518,四环生物,江苏四环生物股份有限公司,无锡市,江阴市,3.46亿,1065.03万,280,1993-09-08,--,,生物医药,主营业务:药品、保健品的研发、生产和销售,药品、保健品的研发、生产和销售
118,519,中兵红箭,中兵红箭股份有限公司,湘潭市,湘潭市,47.75亿,1.20亿,8838,1993-10-08,--,,超硬材料,主营业务:超硬材料及其制品和内燃机配件的研发、生产、销售,超硬材料及其制品和内燃机配件的研发、生产、销售
119,520,长航凤凰,长航凤凰股份有限公司,武汉市,江汉区,8.32亿,5081.98万,460,1993-10-25,--,,航运,主营业务:从事干货运输,从事干货运输
120,521,长虹美菱,长虹美菱股份有限公司,合肥市,蜀山区,167.97亿,3609.45万,17179,1993-10-18,--,,冰箱、空调,主营业务:冰箱、冰柜、空调、洗衣机白色家电产品研发、生产与销售。,冰箱、冰柜、空调、洗衣机白色家电产品研发、生产与销售。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
121,523,广州浪奇,广州市浪奇实业股份有限公司,广州市,天河区,118.11亿,3379.96万,848,1993-11-08,--,,洗涤产品,"主营业务:从事""浪奇""、""高富力""和""维可倚""等品牌的洗涤用品和磺酸、精甘油、AES等化工原料的开发、生产和销售","从事""浪奇""、""高富力""和""维可倚""等品牌的洗涤用品和磺酸、精甘油、AES等化工原料的开发、生产和销售"
122,524,岭南控股,广州岭南集团控股股份有限公司,广州市,越秀区,63.92亿,1.85亿,5549,1993-11-18,--,,餐饮,主营业务:酒店管理业务、酒店经营业务、出租车与租赁车业务,酒店管理业务、酒店经营业务、出租车与租赁车业务
123,525,红太阳,南京红太阳股份有限公司,南京市,高淳区,50.72亿,7.23亿,3438,1993-10-28,--,,农药,主营业务:原药和制剂产品的生产销售、化肥生态肥的销售,原药和制剂产品的生产销售、化肥生态肥的销售
124,526,紫光学大,厦门紫光学大股份有限公司,厦门市,湖里区,28.12亿,2258.00万,15227,1993-11-01,--,,教育培训,主营业务:教育培训服务,教育培训服务
125,528,柳工,广西柳工机械股份有限公司,柳州市,柳南区,119.39亿,3.69亿,8420,1993-11-18,--,,工程机械,主营业务:装载机、挖掘机、起重机、压路机、叉车、平地机、推土机、铣刨机、摊铺机、滑移装载机、挖掘装载机等工程机械及配件的生产、销售，以及融资租赁业务,装载机、挖掘机、起重机、压路机、叉车、平地机、推土机、铣刨机、摊铺机、滑移装载机、挖掘装载机等工程机械及配件的生产、销售，以及融资租赁业务
126,529,广弘控股,广东广弘控股股份有限公司,广州市,天河区,23.06亿,1.56亿,902,1993-11-18,--,,肉制品,主营业务:肉类食品供应和教育出版物发行,肉类食品供应和教育出版物发行
127,530,大冷股份,大连冷冻机股份有限公司,大连市,沙河口区,20.80亿,2.05亿,1726,1993-12-08,--,,制冷空调设备,主营业务:工业制冷、食品冷冻冷藏、中央及商用空调以及制冷部件等制冷设备的生产和安装。,工业制冷、食品冷冻冷藏、中央及商用空调以及制冷部件等制冷设备的生产和安装。
128,531,穗恒运A,广州恒运企业集团股份有限公司,广州市,萝岗区,29.65亿,2.02亿,1227,1994-01-06,--,,火电,主营业务:电力、热力的生产和销售,电力、热力的生产和销售
129,532,华金资本,珠海华金资本股份有限公司,珠海市,香洲区,4.79亿,6476.27万,645,1994-01-03,--,,电子零部件,主营业务:从事投资与资产管理、电子设备制造、电子器件制造、水质净化等业务。,从事投资与资产管理、电子设备制造、电子器件制造、水质净化等业务。
130,533,顺钠股份,广东顺钠电气股份有限公司,佛山市,顺德区,82.67亿,6662.72万,1562,1994-01-03,--,,厨卫电器,主营业务:输配电设备业务、供应链管理业务,输配电设备业务、供应链管理业务
131,534,万泽股份,万泽实业股份有限公司,汕头市,龙湖区,2.55亿,7720.06万,389,1994-01-10,--,,房地产开发,主营业务:房地产商品开发销售,房地产商品开发销售
132,536,华映科技,华映科技(集团)股份有限公司,福州市,马尾区,48.89亿,1.98亿,4923,1993-11-26,--,,显示器件,主营业务:从事新型平板显示器件、液晶显示屏、模组及零部件的研发、设计、生产、销售和售后服务。,从事新型平板显示器件、液晶显示屏、模组及零部件的研发、设计、生产、销售和售后服务。
133,537,广宇发展,天津广宇发展股份有限公司,天津市,滨海新区,216.43亿,22.18亿,1777,1993-12-10,--,,房地产开发,主营业务:房地产开发与销售,房地产开发与销售
134,538,云南白药,云南白药集团股份有限公司,昆明市,呈贡区,243.15亿,31.33亿,8294,1993-12-15,--,,中药生产,主营业务:制造和销售以云南白药系列产品和天然植物药系列产品为主的各类药品。,制造和销售以云南白药系列产品和天然植物药系列产品为主的各类药品。
135,539,粤电力A,广东电力发展股份有限公司,广州市,天河区,266.44亿,11.38亿,6957,1993-11-26,--,,火电,主营业务:主要从事电力项目的投资、建设和经营管理，电力的生产和销售业务,主要从事电力项目的投资、建设和经营管理，电力的生产和销售业务
136,540,中天金融,中天金融集团股份有限公司,贵阳市,贵阳市,172.64亿,21.44亿,5507,1994-02-02,--,,房地产开发,主营业务:房地产及金融业务,房地产及金融业务
137,541,佛山照明,佛山电器照明股份有限公司,佛山市,禅城区,38.00亿,7.46亿,9209,1993-11-23,--,,照明设备,主营业务:照明产品的生产、研发和销售,照明产品的生产、研发和销售
138,543,皖能电力,安徽省皖能股份有限公司,合肥市,包河区,122.07亿,7929.25万,3480,1993-12-20,--,,火电,主营业务:从事投资建设、经营管理以电力生产为主的能源项目,从事投资建设、经营管理以电力生产为主的能源项目
139,544,中原环保,中原环保股份有限公司,郑州市,金水区,9.76亿,3.23亿,1176,1993-12-08,--,,污水处理,主营业务:城市污水处理和集中供热业务,城市污水处理和集中供热业务
140,545,金浦钛业,金浦钛业股份有限公司,吉林市,昌邑区,17.41亿,1.66亿,1074,1993-12-15,--,,其他化学原料,主营业务:钛白粉生产及销售,钛白粉生产及销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
141,546,金圆股份,金圆环保股份有限公司,长春市,朝阳区,50.73亿,4.02亿,3536,1993-12-15,--,,水泥,主营业务:以水泥、商砼业务为核心的建材产业和以固(危)废处置为核心的环保产业两大业务板块。,以水泥、商砼业务为核心的建材产业和以固(危)废处置为核心的环保产业两大业务板块。
142,547,航天发展,航天工业发展股份有限公司,福州市,台江区,24.91亿,3.19亿,1856,1993-11-30,--,,通信传输设备,主营业务:电子蓝军、指控通信、电磁安防和发电设备四大主营业务,电子蓝军、指控通信、电磁安防和发电设备四大主营业务
143,548,湖南投资,湖南投资集团股份有限公司,长沙市,芙蓉区,9.71亿,1.22亿,809,1993-12-20,--,,高速公路,主营业务:路桥收费、酒店经营和房地产开发,路桥收费、酒店经营和房地产开发
144,550,江铃汽车,江铃汽车股份有限公司,南昌市,青云谱区,313.46亿,6.91亿,17341,1993-12-01,--,,商用车,主营业务:生产和销售商用车、SUV以及相关的零部件,生产和销售商用车、SUV以及相关的零部件
145,551,创元科技,创元科技股份有限公司,苏州市,虎丘区,25.91亿,1.35亿,3359,1994-01-06,--,,综合,主营业务:洁净环保工程及设备、输变电高压瓷绝缘子、滚针轴承、各类光机电算一体化测绘仪器、各类磨料磨具等产品的生产经营,洁净环保工程及设备、输变电高压瓷绝缘子、滚针轴承、各类光机电算一体化测绘仪器、各类磨料磨具等产品的生产经营
146,552,靖远煤电,甘肃靖远煤电股份有限公司,白银市,平川区,39.81亿,5.53亿,13031,1994-01-06,--,,煤炭开采洗选,主营业务:煤炭的生产与销售,煤炭的生产与销售
147,553,安道麦A,安道麦股份有限公司,荆州市,沙市区,238.20亿,15.46亿,1598,1993-12-03,--,,农药,主营业务:农药、化工产品的制造和销售，农药、化工产品及其中间体的进出口贸易,农药、化工产品的制造和销售，农药、化工产品及其中间体的进出口贸易
148,554,泰山石油,中国石化山东泰山石油股份有限公司,泰安市,泰山区,27.19亿,284.67万,1342,1993-12-15,--,,石油天然气贸易,主营业务:成品油的批发和零售、天然气的零售,成品油的批发和零售、天然气的零售
149,555,神州信息,神州数码信息服务股份有限公司,深圳市,南山区,81.87亿,3.18亿,9942,1994-04-08,--,,其他软件服务,主营业务:技术服务、农业信息化、应用软件开发、金融专用设备相关业务及集成解决方案。,技术服务、农业信息化、应用软件开发、金融专用设备相关业务及集成解决方案。
150,557,西部创业,宁夏西部创业实业股份有限公司,银川市,金凤区,6.60亿,8699.15万,1153,1994-06-17,--,,铁路运输,主营业务:生态农业产业化、酒的研发、生产与销售，铁路开发建设与经营管理、仓储和物流服务。,生态农业产业化、酒的研发、生产与销售，铁路开发建设与经营管理、仓储和物流服务。
151,558,莱茵体育,莱茵达体育发展股份有限公司,杭州市,西湖区,13.24亿,4496.12万,174,1994-05-09,--,,体育运营,主营业务:体育运营、房地产销售及租赁、能源及贸易销售,体育运营、房地产销售及租赁、能源及贸易销售
152,559,万向钱潮,万向钱潮股份有限公司,杭州市,萧山区,111.54亿,9.24亿,9697,1994-01-10,--,,汽车零部件,主营业务:生产底盘及悬架系统，汽车制动系统，汽车传动系统，汽车燃油排气系统，轮毂单元，轴承，精密件，工程机械零部件等汽车系统零部件及总成。,生产底盘及悬架系统，汽车制动系统，汽车传动系统，汽车燃油排气系统，轮毂单元，轴承，精密件，工程机械零部件等汽车系统零部件及总成。
153,560,我爱我家,我爱我家控股集团股份有限公司,昆明市,五华区,13.19亿,7576.63万,59003,1994-02-02,--,,百货,主营业务:房地产综合服务业务、商业零售业，同时涉及房地产业、酒店旅游服务业和物业管理。,房地产综合服务业务、商业零售业，同时涉及房地产业、酒店旅游服务业和物业管理。
154,561,烽火电子,陕西烽火电子股份有限公司,宝鸡市,宝鸡市,12.17亿,8891.02万,3039,1994-05-09,--,,通信终端设备,主营业务:从事通信装备及电声器材的科研、生产、销售。,从事通信装备及电声器材的科研、生产、销售。
155,563,陕国投A,陕西省国际信托股份有限公司,西安市,雁塔区,11.51亿,3.52亿,498,1994-01-10,--,,信托,主营业务:投资银行的一般业务,投资银行的一般业务
156,564,供销大集,供销大集集团股份有限公司,西安市,新城区,277.90亿,14.74亿,10808,1994-01-10,--,,百货,主营业务:商业零售,商业零售
157,565,渝三峡A,重庆三峡油漆股份有限公司,重庆市,江津区,36.09亿,8112.54万,942,1994-04-08,--,,涂料涂漆,主营业务:油漆涂料的生产销售,油漆涂料的生产销售
158,566,海南海药,海南海药股份有限公司,海口市,秀英区,18.25亿,8120.67万,2350,1994-05-25,--,,化学制剂,主营业务:药品及医疗器械研发、生产和销售,药品及医疗器械研发、生产和销售
159,567,海德股份,海南海德实业股份有限公司,海口市,海口市,2.03亿,7326.83万,45,1994-05-25,--,,其他非银行金融,主营业务:不良资产管理业务。,不良资产管理业务。
160,568,泸州老窖,泸州老窖股份有限公司,泸州市,江阳区,103.95亿,26.02亿,2451,1994-05-09,--,,白酒,主营业务:“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售,“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
161,570,苏常柴A,常柴股份有限公司,常州市,钟楼区,24.23亿,4713.72万,3432,1994-07-01,--,,内燃机,主营业务:以“常柴牌”为商标的中小型单缸和多缸柴油机的生产及销售,以“常柴牌”为商标的中小型单缸和多缸柴油机的生产及销售
162,571,新大洲A,新大洲控股股份有限公司,海口市,美兰区,16.03亿,4470.77万,4348,1994-05-25,--,,煤炭开采洗选,主营业务:煤炭采掘;物流运输;电动车的生产经营和物业管理等,煤炭采掘;物流运输;电动车的生产经营和物业管理等
163,572,海马汽车,海马汽车集团股份有限公司,海口市,海口市,100.79亿,-14.15亿,8189,1994-08-08,--,,乘用车,主营业务:汽车及汽车发动机的研发、制造、销售、物流配送及相关业务，金融服务业,汽车及汽车发动机的研发、制造、销售、物流配送及相关业务，金融服务业
164,573,粤宏远A,东莞宏远工业区股份有限公司,东莞市,东莞市,5.66亿,3162.54万,533,1994-08-15,--,,房地产开发,主营业务:开发经营工业区、房地产开发销售、原煤开采销售,开发经营工业区、房地产开发销售、原煤开采销售
165,576,广东甘化,江门甘蔗化工厂(集团)股份有限公司,江门市,蓬江区,4.75亿,-2.84亿,487,1994-09-07,--,,造纸,主营业务:浆纸贸易、酵母及酵母深加工产品的生产销售、LED外延片及芯片的生产销售,浆纸贸易、酵母及酵母深加工产品的生产销售、LED外延片及芯片的生产销售
166,581,威孚高科,无锡威孚高科技集团股份有限公司,无锡市,滨湖区,90.17亿,26.47亿,5411,1998-09-24,--,,汽车零部件,主营业务:汽车燃油喷射系统、汽车后处理系统、发动机进气系统等产品的开发、制造和销售业务,汽车燃油喷射系统、汽车后处理系统、发动机进气系统等产品的开发、制造和销售业务
167,582,北部湾港,北部湾港股份有限公司,北海市,海城区,37.11亿,6.43亿,3839,1995-11-02,--,,港口,主营业务:从事投资兴建港口、码头、装卸、仓储管理及服务，交通运输（普通货运），机械加工及修理，外轮代理、物流代理服务，国内、国际商业贸易等,从事投资兴建港口、码头、装卸、仓储管理及服务，交通运输（普通货运），机械加工及修理，外轮代理、物流代理服务，国内、国际商业贸易等
168,584,哈工智能,江苏哈工智能机器人股份有限公司,无锡市,江阴市,15.72亿,1.15亿,915,1995-11-28,--,,氨纶,主营业务:智能制造业务，房地产销售、租赁业务以及氨纶生产销售业务。,智能制造业务，房地产销售、租赁业务以及氨纶生产销售业务。
169,585,*ST东电,东北电气发展股份有限公司,常州市,新北区,3298.59万,-3.98亿,559,1995-12-13,--,,其他输变电设备,主营业务:电力电容器及封闭母线等系统保护及传输设备的制造和营销,电力电容器及封闭母线等系统保护及传输设备的制造和营销
170,586,汇源通信,四川汇源光通信股份有限公司,成都市,金牛区,3.90亿,94.63万,1093,1995-12-20,--,,通信传输设备,主营业务:通信工程及系统集成业务、光纤、光缆及相关产品业务,通信工程及系统集成业务、光纤、光缆及相关产品业务
171,587,金洲慈航,金洲慈航集团股份有限公司,伊春市,伊春区,116.98亿,11.10亿,1149,1996-04-25,--,,珠宝首饰,主营业务:黄金珠宝首饰研发设计、加工制造、批发零售及品牌加盟，融资租赁,黄金珠宝首饰研发设计、加工制造、批发零售及品牌加盟，融资租赁
172,589,黔轮胎A,贵州轮胎股份有限公司,贵阳市,乌当区,69.60亿,-2.22亿,6103,1996-03-08,--,,轮胎,主营业务:轮胎生产及销售,轮胎生产及销售
173,590,启迪古汉,启迪古汉集团股份有限公司,衡阳市,蒸湘区,3.44亿,990.60万,1466,1996-01-19,--,,中药生产,主营业务:主要生产销售以古汉养生精（口服液、片剂）为代表的中成药系列产品，以克林霉素磷酸酯小针剂和各类输液为主的西药制剂系列产品。,主要生产销售以古汉养生精（口服液、片剂）为代表的中成药系列产品，以克林霉素磷酸酯小针剂和各类输液为主的西药制剂系列产品。
174,591,太阳能,中节能太阳能股份有限公司,重庆市,渝中区,52.05亿,8.11亿,2555,1996-02-08,--,,新能源发电,"主营业务:太阳能光伏电站的投资运营,以及太阳能电池组件的生产销售","太阳能光伏电站的投资运营,以及太阳能电池组件的生产销售"
175,592,平潭发展,中福海峡(平潭)发展股份有限公司,福州市,平潭县,8.48亿,-687.32万,1179,1996-03-27,--,,木材加工,主营业务:造林营林、林木产品加工与销售、以烟草化肥销售为主的农资贸易业务和与平潭综合实验区开发项目的有关业务。,造林营林、林木产品加工与销售、以烟草化肥销售为主的农资贸易业务和与平潭综合实验区开发项目的有关业务。
176,593,大通燃气,四川大通燃气开发股份有限公司,成都市,成华区,4.86亿,2681.59万,833,1996-03-12,--,,燃气,主营业务:城市管道燃气和零售商业,城市管道燃气和零售商业
177,595,宝塔实业,宝塔实业股份有限公司,银川市,西夏区,4.36亿,2783.79万,1423,1996-04-19,--,,基础件,主营业务:轴承制造、物资贸易,轴承制造、物资贸易
178,596,古井贡酒,安徽古井贡酒股份有限公司,亳州市,亳州市,69.68亿,11.85亿,7991,1996-09-27,--,,白酒,主营业务:白酒的生产与销售、包装材料的生产与销售、农副产品的加工与生产、酒店餐饮等,白酒的生产与销售、包装材料的生产与销售、农副产品的加工与生产、酒店餐饮等
179,597,东北制药,东北制药集团股份有限公司,沈阳市,于洪区,56.76亿,9205.77万,8106,1996-05-23,--,,化学原料药,主营业务:生产和销售化学原料药品及制剂药品、经营医药产品批发及零售、生物制剂的生产与销售,生产和销售化学原料药品及制剂药品、经营医药产品批发及零售、生物制剂的生产与销售
180,598,兴蓉环境,成都市兴蓉环境股份有限公司,成都市,青羊区,37.31亿,9.16亿,3767,1996-05-29,--,,污水处理,主营业务:自来水供应、污水处理及垃圾渗滤液处理。,自来水供应、污水处理及垃圾渗滤液处理。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
181,599,青岛双星,青岛双星股份有限公司,青岛市,黄岛区,39.98亿,1.02亿,4840,1996-04-30,--,,轮胎,主营业务:轮胎、机械等产品的生产及销售。,轮胎、机械等产品的生产及销售。
182,600,建投能源,河北建投能源投资股份有限公司,石家庄市,石家庄市,105.69亿,3.12亿,4443,1996-06-06,--,,火电,主营业务:投资、建设、运营管理以电力生产为主的能源项目,投资、建设、运营管理以电力生产为主的能源项目
183,601,韶能股份,广东韶能集团股份有限公司,韶关市,武江区,35.94亿,4.58亿,4828,1996-08-30,--,,火电,主营业务:电力生产与销售,电力生产与销售
184,603,盛达矿业,盛达矿业股份有限公司,北京市,大兴区,13.34亿,4.62亿,685,1996-08-23,--,,铅锌,主营业务:有色金属矿采选业，铅精粉（含银）、锌精粉的生产和销售,有色金属矿采选业，铅精粉（含银）、锌精粉的生产和销售
185,605,渤海股份,渤海水业股份有限公司,北京市,顺义区,16.63亿,1.75亿,1470,1996-09-13,--,,水务,主营业务:原水和自来水开发供应、管道输水运输、供水设施管理、维护和保养、水务基础设施投资建设及运营管理。,原水和自来水开发供应、管道输水运输、供水设施管理、维护和保养、水务基础设施投资建设及运营管理。
186,606,顺利办,顺利办信息服务股份有限公司,西宁市,城东区,5.16亿,7759.19万,364,1996-10-04,--,,其他互联网服务,主营业务:互联网服务业务,互联网服务业务
187,607,华媒控股,浙江华媒控股股份有限公司,杭州市,下城区,18.32亿,2.10亿,3175,1996-08-30,--,,营销服务,主营业务:经营广告、报刊发行、印刷及新媒体业务、新增教育培训,经营广告、报刊发行、印刷及新媒体业务、新增教育培训
188,608,阳光股份,阳光新业地产股份有限公司,南宁市,江南区,5.34亿,1.90亿,147,1996-09-19,--,,房地产开发,主营业务:房地产开发与销售，投资性房地产出租与资产管理输出服务,房地产开发与销售，投资性房地产出租与资产管理输出服务
189,609,中迪投资,北京中迪投资股份有限公司,北京市,丰台区,2.71亿,1.34亿,101,1996-10-10,--,,综合,主营业务:股权投资和资产投资,股权投资和资产投资
190,610,西安旅游,西安旅游股份有限公司,西安市,碑林区,7.30亿,-2012.53万,815,1996-09-26,--,,景区,主营业务:酒店经营管理、餐饮服务、旅行社、商业地产开发租赁、企业管理咨询、物业管理服务和劳务输出等。,酒店经营管理、餐饮服务、旅行社、商业地产开发租赁、企业管理咨询、物业管理服务和劳务输出等。
191,611,天首发展,内蒙古天首科技发展股份有限公司,包头市,青山区,4077.93万,-2152.78万,142,1996-10-08,--,,纺织,主营业务:纺织品加工、销售，高硅硅锰铁合金等新材料贸易,纺织品加工、销售，高硅硅锰铁合金等新材料贸易
192,612,焦作万方,焦作万方铝业股份有限公司,焦作市,马村区,50.17亿,1.76亿,3886,1996-09-26,--,,铝,主营业务:铝冶炼及加工,铝冶炼及加工
193,613,大东海A,海南大东海旅游中心股份有限公司,三亚市,三亚市,2790.66万,285.90万,143,1997-01-28,--,,酒店,主营业务:旅游服务业中的住宿和餐饮,旅游服务业中的住宿和餐饮
194,615,京汉股份,京汉实业投资集团股份有限公司,襄阳市,樊城区,27.95亿,4.18亿,3423,1996-10-16,--,,房地产开发,主营业务:房地产业务和粘胶纤维业务,房地产业务和粘胶纤维业务
195,616,海航投资,海航投资集团股份有限公司,大连市,中山区,9670.73万,792.84万,247,1996-11-08,--,,房地产开发,主营业务:以商品住宅及商铺的开发和销售为主；物业管理与经营服务等。,以商品住宅及商铺的开发和销售为主；物业管理与经营服务等。
196,617,中油资本,中国石油集团资本股份有限公司,克拉玛依市,克拉玛依区,293.05亿,135.12亿,4022,1996-10-22,--,,其他非银行金融,主营业务:以自有资金对外投资、投资管理；投资咨询服务，企业策划；企业投资服务,以自有资金对外投资、投资管理；投资咨询服务，企业策划；企业投资服务
197,619,海螺型材,芜湖海螺型材科技股份有限公司,芜湖市,鸠江区,30.88亿,1478.16万,3583,1996-10-23,--,,其他建材,主营业务:主要生产销售塑料型材、门窗等节能建筑材料。,主要生产销售塑料型材、门窗等节能建筑材料。
198,620,新华联,新华联文化旅游发展股份有限公司,北京市,通州区,74.41亿,8.53亿,6583,1996-10-29,--,,房地产开发,主营业务:房地产开发、经营与建筑装修,房地产开发、经营与建筑装修
199,622,恒立实业,恒立实业发展集团股份有限公司,岳阳市,岳阳楼区,5873.31万,-3669.78万,193,1996-11-07,--,,汽车零部件,主营业务:汽车空调设备的制造、销售、安装、维修、加工、销售机械设备、公路运输设备及承接各类空调设备的性能测试。,汽车空调设备的制造、销售、安装、维修、加工、销售机械设备、公路运输设备及承接各类空调设备的性能测试。
200,623,吉林敖东,吉林敖东药业集团股份有限公司,延边朝鲜族自治州,敦化市,29.77亿,18.45亿,3351,1996-10-28,--,,中药生产,主营业务:制药业为主导产业，集养殖、种植、房地产开发、商业、机械修理、仓储、饮食服务业、运输等多业经营,制药业为主导产业，集养殖、种植、房地产开发、商业、机械修理、仓储、饮食服务业、运输等多业经营
